"testId","tech","paramIdx","param","mddl","mda","mae_md","rmse_md","mae","rmse","dist"
1,"emdmi",1,",2,20",219.628519094585,31.4134236323632,0.639077936153811,31.4134236323632,0.636004380068553,0.706823912392952,221.863673421286
2,"emdmi",1,",2,20",190.477021830972,31.4125970012153,0.639072121327678,31.4125970012153,0.635990131934837,0.706798390141409,193.049856503333
3,"emdmi",1,",2,20",3.47487602987624,0.569156585106327,0.0100361989897435,0.569156585106327,0.0101981907791341,0.0131784310319337,3.5211791549676
4,"emdmi",1,",2,20",33.2324799164294,31.8666194402716,0.646514594524919,31.8666194402716,0.645691298590746,0.718845056900405,46.0421454316258
5,"emdmi",1,",2,20",6.19258393885799,1.32708570766212,0.0233000750426631,1.32708570766212,0.0237626179861203,0.0307327918630874,6.33318658459413
6,"emdmi",1,",2,20",4.59016382073724,1.68442937016426,0.0296681313607125,1.68442937016426,0.0303055974538355,0.0390892080832125,4.88946890820231
7,"emdmi",1,",2,20",2.2737763567558,0.219127318026188,0.00380226715233869,0.219127318026188,0.00385817379973161,0.00510835382536229,2.28431077177494
8,"emdmi",1,",2,20",17.3598981188653,3.35726304657055,0.0493243959413374,3.35726304657055,0.0505024323445262,0.0776766612325339,17.6815519076028
9,"emdmi",1,",2,20",208.081617201847,31.4333588654878,0.639400330679894,31.4333588654878,0.636407702521893,0.70732425187954,210.442427915339
10,"emdmi",1,",2,20",32.9880748871004,28.2702504535715,0.569134294576302,28.2702504535715,0.565146485858137,0.63582516494935,43.4444489603056
11,"emdmi",1,",2,20",5.41076204611793,5.72908925358238,0.111146976478447,5.72908925358238,0.110614760631849,0.128830325459595,7.88027979168402
12,"emdmi",1,",3,1",10.0998532193363,20.420149551514,0.293301802251708,20.420149551514,0.292860627933379,0.372854938113754,22.7813419876516
13,"emdmi",1,",3,1",8.7196123729037,20.8496589380482,0.296524044216931,20.8496589380482,0.296206926640607,0.380716919283826,22.5995556984342
14,"emdmi",1,",3,1",15.6468606791365,20.0328341930174,0.282705385378464,20.0328341930174,0.282437914187626,0.365850845642699,25.4192583471123
15,"emdmi",1,",3,1",19.7158260139229,19.0385788315262,0.270721512584762,19.0385788315262,0.270771448609242,0.347881671328916,27.4076865009712
16,"emdmi",1,",3,1",40.107917064151,22.0294678794166,0.305581456208978,22.0294678794166,0.30556735761773,0.402497736905219,45.7596161071644
17,"emdmi",1,",3,1",14.474966091093,17.7785129787314,0.252618862040018,17.7785129787314,0.252558158531267,0.324753887184608,22.9259714532059
18,"emdmi",1,",3,1",24.0624084849347,19.0591668978177,0.279959594051733,19.0591668978177,0.27972379399357,0.348065458062916,30.6961128635977
19,"emdmi",1,",3,1",13.6024474183088,19.1993482580885,0.272590218275281,19.1993482580885,0.272562991359862,0.350820531626806,23.5295888043804
20,"emdmi",1,",3,1",13.7297294776259,19.8875961968016,0.273768754805954,19.8875961968016,0.273503721085708,0.363164951098689,24.1665461747398
21,"emdmi",1,",3,1",9.52229742428726,20.4629146278066,0.275912650568907,20.4629146278066,0.275467665915609,0.373617607639281,22.5700027315348
22,"emdmi",1,",3,1",7.94772041374047,19.3860026643049,0.265151653387822,19.3860026643049,0.264873881046245,0.353996387021678,20.9519297219951
23,"emdmi",1,",3,1",71.0453769375,25.9867230485451,0.385646425956436,25.9867230485451,0.385650289369804,0.475094110574147,75.6488952926164
24,"emdmi",1,",3,1",147.729599724334,25.937575839032,0.384237265008257,25.937575839032,0.384204408377848,0.474129288301077,149.98930786932
25,"emdmi",1,",3,1",63.8022630852986,25.9324509822585,0.384171980564262,25.9324509822585,0.384123902866503,0.47401561248138,68.8710446323628
26,"emdmi",1,",3,1",123.700521893493,25.9775925075206,0.385892351163737,25.9775925075206,0.385844546983734,0.474847483515447,126.398791249004
27,"emdmi",1,",3,1",51.8394370132392,26.1457836013211,0.389215456072356,26.1457836013211,0.38948037589103,0.478424156226055,58.0597040121349
28,"emdmi",1,",3,1",86.7240444746188,26.1428294704183,0.390393579253726,26.1428294704183,0.390286167184715,0.477700209110165,90.5787360408337
29,"emdmi",1,",3,1",144.098133665104,25.9422871495416,0.384634200494495,25.9422871495416,0.38460692151697,0.474219313577044,146.414734191322
30,"emdmi",1,",3,1",100.843646942264,26.0048366025006,0.38744504261793,26.0048366025006,0.387256557819114,0.475144287496578,104.142655311543
31,"emdmi",1,",3,1",30.6751369515495,26.1399682426017,0.39128055663332,26.1399682426017,0.391328055199723,0.477963674468339,40.3021335256651
32,"emdmi",1,",3,1",129.695334984899,25.9786301171066,0.385509076895953,25.9786301171066,0.385130469872617,0.474449657440068,132.271573437404
33,"emdmi",1,",3,1",45.9317150629838,26.2189121971153,0.391499960439689,26.2189121971153,0.391333534112772,0.479094275882751,52.8881253725935
34,"emdmi",1,",2,1",52.410898545337,28.436450636882,0.544682820933677,28.436450636882,0.544274451044616,0.635874937046664,59.628298744417
35,"emdmi",1,",2,1",65.2718230965445,28.4968415392864,0.551816580935503,28.4968415392864,0.551449232136661,0.637245026296279,71.2213512091831
36,"emdmi",1,",2,1",46.4639883720911,28.4869947047681,0.55009291372624,28.4869947047681,0.549687123198749,0.637006598882611,54.5014778033706
37,"emdmi",1,",2,1",18.9640772485409,28.4562015099363,0.545714633379149,28.4562015099363,0.545295062239759,0.636312516656374,34.1963686707043
38,"emdmi",1,",2,1",52.2313813156824,28.5055348698977,0.552218108178171,28.5055348698977,0.551859915027989,0.637443348929852,59.5036361272416
39,"emdmi",1,",2,1",49.4275175364529,28.4822750389594,0.545103055002388,28.4822750389594,0.544706665391726,0.636900885618374,57.0466430319198
40,"emdmi",1,",2,1",52.9910981535784,28.498435856768,0.55152875832361,28.498435856768,0.551155876649622,0.637278990878616,60.1682418706455
41,"emdmi",1,",2,1",63.834785912332,28.4838716811582,0.55067224593802,28.4838716811582,0.5502687684534,0.636950720304093,69.9014365976977
42,"emdmi",1,",2,1",47.6870676791515,28.5004617262389,0.549914667527387,28.5004617262389,0.549490556804102,0.637312681632897,55.5547724542616
43,"emdmi",1,",2,1",28.9141425587052,28.5000756729447,0.544023299686046,28.5000756729447,0.543514597732356,0.637282381217795,40.5990388219808
44,"emdmi",1,",2,1",57.1547524536385,28.5601721608987,0.551403036540142,28.5601721608987,0.551014118256832,0.638645888663472,63.8932638225413
45,"emdmi",1,",2,1",43.9788014901986,25.4725349201203,0.487280807735719,25.4725349201203,0.487026586132684,0.56963731611118,50.8230756229003
46,"emdmi",1,",2,1",46.1841339597917,25.4260997356735,0.486286530820801,25.4260997356735,0.486024266484441,0.568596108751452,52.7205915879593
47,"emdmi",1,",2,1",71.4654641044911,25.4338621636114,0.485766762662774,25.4338621636114,0.485516183769021,0.568767578638939,75.8564031854127
48,"emdmi",1,",2,1",83.7983008413969,25.4787901520885,0.487241558555995,25.4787901520885,0.486967435499492,0.569772091400338,87.5860946242006
49,"emdmi",1,",2,1",107.4619337213,25.4468747744249,0.486336528601187,25.4468747744249,0.486004908755913,0.569037015726825,110.433738662178
50,"emdmi",1,",2,1",83.895420564866,25.4400439750079,0.485767576188415,25.4400439750079,0.485401107427886,0.568880244138401,87.6677673333026
51,"emdmi",1,",2,1",90.261894352014,25.421158026851,0.486122492434323,25.421158026851,0.485892768205012,0.568495734633479,93.7733696069426
52,"emdmi",1,",2,1",25.6248283359827,25.386122879613,0.483973138977196,25.386122879613,0.483752233354273,0.567712952055489,36.0705844436626
53,"emdmi",1,",2,1",17.206224250319,25.4622008707896,0.485367162470182,25.4622008707896,0.485056412174156,0.569384252012414,30.7307309730293
54,"emdmi",1,",2,1",49.164498811022,25.5205025888347,0.487806299371314,25.5205025888347,0.487533373084784,0.570730834808307,55.3935374906289
55,"emdmi",1,",2,1",77.883902611101,25.5518203397393,0.487288745643936,25.5518203397393,0.486957928780983,0.571377786189606,81.9682731830419
